o_apple_key,o_opendb_key,o_flag,apple_id,apple_Artist,apple_Track,apple_Album,apple_Track_Explicitness,apple_Album_Year,apple_Duration,opendb_id,opendb_Artist,opendb_Track,opendb_Album,opendb_Track_Explicitness,opendb_Album_Year,opendb_Duration
A6281,B147,True,A6281,System Of A Down,Forest,Toxicity,notExplicit,2001,240107,B147,VOVK,Forest,Lair,notExplicit,2019,231000
A2169,B159,True,A2169,Calvin Harris,Summer,Motion,notExplicit,2014,222533,B159,Jamestown Story,Summer,Love vs. Life,notExplicit,2008,244000
A8836,B169,True,A8836,Eminem,In Too Deep,Music To Be Murdered By,explicit,2020,194707,B169,Camilla Uboldi,In Too Deep,American Animals (Original Motion Picture Soundtrack),notExplicit,2018,148000
A2502,B196,True,A2502,Faith Hill,Breathe,The Hits,notExplicit,1999,247067,B196,FKA twigs,Breathe,EP1,notExplicit,2012,257000
A1781,B202,True,A1781,Tegan and Sara,Closer,Heartthrob (Deluxe Version),notExplicit,2012,209280,B202,Stereo Productions presents,Closer,Miami Music Conference Sampler 2010,notExplicit,2010,430000
A629,B214,True,A629,One Direction,Strong,Midnight Memories (Deluxe Edition),notExplicit,2013,184373,B214,TRP.P,Strong,Strong,Explicit,2022,216000
A303,B227,True,A303,Beyoncé,Heaven,BEYONCÉ,notExplicit,2013,230881,B227,Cappadonna,Heaven,Ear Candy,Explicit,2018,333000
A4493,B250,True,A4493,Alice Cooper,Poison,Alice Cooper Classicks,notExplicit,1989,269600,B250,Louie Rankin,Poison,Showdown,notExplicit,1992,243000
A4528,B262,True,A4528,Savage Garden,I Want You,Savage Garden,notExplicit,1997,232027,B262,PJ & Duncan,I Want You,PSYCHE,notExplicit,2013,270000
A7760,B264,True,A7760,The Countdown Kids,London Bridge Is Falling Down,30 Toddler Songs (for ages 2+),notExplicit,1998,88467,B264,Nursery Rhymes Songs & Kids Music,London Bridge Is Falling Down,"Baby Sleep Music: Baby Lullabies, Nursery Rhymes and Baby Lullaby Music For Baby Sleep Aid and Soft Baby Music",notExplicit,2020,120000
A6281,B273,True,A6281,System Of A Down,Forest,Toxicity,notExplicit,2001,240107,B273,Duvy,Forest,How Did I End Up Here (Deluxe),Explicit,2023,166000
A2502,B277,True,A2502,Faith Hill,Breathe,The Hits,notExplicit,1999,247067,B277,Pink Floyd,Breathe,Pulse (Live),notExplicit,1995,154000
A1781,B281,True,A1781,Tegan and Sara,Closer,Heartthrob (Deluxe Version),notExplicit,2012,209280,B281,Zamy Baumüller,Closer,Forward,notExplicit,2017,241000
A5384,B285,True,A5384,System Of A Down,Psycho,Toxicity,notExplicit,2001,225893,B285,Nightmare.mm,Psycho,Our History,Explicit,2023,251000
A4176,B287,True,A4176,Britney Spears,Stronger,Greatest Hits: My Prerogative,notExplicit,2000,204400,B287,Gloria Gaynor,Stronger,I Wish You Love,notExplicit,2002,198000
A1697,B303,True,A1697,Pentatonix,Let It Go,That's Christmas To Me,notExplicit,2014,206353,B303,Karl Sapp,Let It Go,I Don't Drink No More,notExplicit,2010,159000
A1781,B312,True,A1781,Tegan and Sara,Closer,Heartthrob (Deluxe Version),notExplicit,2012,209280,B312,Barış Çakır,Closer,Closer,notExplicit,2022,138000
A3772,B368,True,A3772,Pantera,Cowboys from Hell,The Best of Pantera: Far Beyond the Great Southern Cowboys' Vulgar Hits! (Remastered),notExplicit,1990,246680,B368,O'Keefe Music Foundation,Cowboys from Hell,Cowboys from Hell,notExplicit,2020,220000
A6655,B373,True,A6655,Speaker Knockerz,Lonely,Lonely - Single,explicit,2013,186653,B373,Big Kuza,Lonely,Hurricane Season,Explicit,2019,239000
A1697,B377,True,A1697,Pentatonix,Let It Go,That's Christmas To Me,notExplicit,2014,206353,B377,Levi Kreis,Let It Go,Imagine Paradise,notExplicit,2013,302000
A3553,B389,True,A3553,Elvis Presley,In the Ghetto,The Essential Elvis Presley,notExplicit,1969,168649,B389,Henrik Åberg & Jack Baymoore,In the Ghetto,Elvis Forever - A Tribute to the King,notExplicit,2011,196000
A280,B394,True,A280,Carrie Underwood,Just a Dream,Carnival Ride,notExplicit,2007,287307,B394,Civilised Society?,Just a Dream,Violence Still Sucks - Scrap Metal Anthology,notExplicit,2019,208000
A6655,B401,True,A6655,Speaker Knockerz,Lonely,Lonely - Single,explicit,2013,186653,B401,Deza XXL,Lonely,Mo (I'm Back),notExplicit,2012,234000
A473,B409,True,A473,Fleetwood Mac,Dreams,Greatest Hits,notExplicit,1987,254453,B409,Quench,Dreams,Dreams (The UK & Original Mixes),notExplicit,2016,373000
A2169,B412,True,A2169,Calvin Harris,Summer,Motion,notExplicit,2014,222533,B412,Pardis For Children,Summer,Songs of Pardis,notExplicit,2015,139000
A473,B413,True,A473,Fleetwood Mac,Dreams,Greatest Hits,notExplicit,1987,254453,B413,City of the Sun,Dreams,Chapter II,notExplicit,2020,349000
A7321,B420,True,A7321,Leo Sayer,When I Need You,The Very Best of Leo Sayer,notExplicit,1996,251733,B420,Alun Weaving Baluci,When I Need You,The Good Olde Days,notExplicit,2022,250000
A588,B425,True,A588,Toto,Africa,Toto IV,notExplicit,1982,295283,B425,SC&J: Steve Burton and Bradford Anderson,Africa,Africa,notExplicit,2020,281000
A4176,B428,True,A4176,Britney Spears,Stronger,Greatest Hits: My Prerogative,notExplicit,2000,204400,B428,Shyne Grady,Stronger,Bitter Livin,Explicit,2023,155000
A4528,B438,True,A4528,Savage Garden,I Want You,Savage Garden,notExplicit,1997,232027,B438,Shermanology,I Want You,I Want You,notExplicit,2015,284000
A473,B450,True,A473,Fleetwood Mac,Dreams,Greatest Hits,notExplicit,1987,254453,B450,RAMOX,Dreams,Dreams,notExplicit,2023,204000
A7354,B463,True,A7354,Zac Brown Band,Let It Rain,"The Grohl Sessions, Vol. 1 - EP",notExplicit,2013,262655,B463,Nouneim 89',Let It Rain,12 Gemas,notExplicit,2020,233000
A345,B473,True,A345,One Direction,Little Things,Take Me Home (Yearbook Edition),notExplicit,2012,219640,B473,notstellar,Little Things,Bipolar,notExplicit,2019,218000
A2502,B474,True,A2502,Faith Hill,Breathe,The Hits,notExplicit,1999,247067,B474,Basement,Breathe,Colourmeinkindness,Explicit,2012,322000
A1187,B475,True,A1187,The Goo Goo Dolls,Better Days,Better Days - Single,notExplicit,2005,215600,B475,soave lofi,Better Days,Better Days,notExplicit,2022,121000
A2442,B478,True,A2442,Ed Sheeran,Shivers,=,notExplicit,2021,207853,B478,Dio,Shivers,Master of the Moon,notExplicit,2004,256000
A2169,B495,True,A2169,Calvin Harris,Summer,Motion,notExplicit,2014,222533,B495,ABC Kids,Summer,In the Garden,notExplicit,1999,207000
A280,B496,True,A280,Carrie Underwood,Just a Dream,Carnival Ride,notExplicit,2007,287307,B496,Javier Escovedo,Just a Dream,City Lights,notExplicit,2008,248000
A2502,B498,True,A2502,Faith Hill,Breathe,The Hits,notExplicit,1999,247067,B498,Моцарт Baby колыбельная,Breathe,40 Melodies for the Soul - a Mix of Songs That Will Bring You Relief and Help You Have Good Dreams,notExplicit,2017,147000
A550,B516,True,A550,Kenny Chesney,Summertime,The Road and the Radio,notExplicit,2005,206587,B516,Smoma,Summertime,"Casual Lounge, songs to remember",notExplicit,2005,220000
A1187,B518,True,A1187,The Goo Goo Dolls,Better Days,Better Days - Single,notExplicit,2005,215600,B518,Black Loyalty,Better Days,Better Days,notExplicit,2016,247000
A5507,B519,True,A5507,Coldplay,Clocks,A Rush of Blood to the Head,notExplicit,2002,306906,B519,Róisín,Clocks,Celtic Cold Play,notExplicit,2012,283000
A4287,B525,True,A4287,Alan Jackson,Little Bitty,34 Number Ones,notExplicit,1996,158080,B525,Alan Jackson,Little Bitty,Everything I Love,notExplicit,1996,159000
A5856,B549,True,A5856,Robert Plant,In the Mood,The Principle of Moments (Remastered),notExplicit,1983,322960,B549,The O'Neill Brothers Group,In the Mood,Big Band Orchestra Favorite Songs - 1930s Music,notExplicit,2011,192000
A2169,B556,True,A2169,Calvin Harris,Summer,Motion,notExplicit,2014,222533,B556,Mambo Kurt,Summer,Sommerhits,notExplicit,2022,217000
A473,B562,True,A473,Fleetwood Mac,Dreams,Greatest Hits,notExplicit,1987,254453,B562,Joakim Karud,Dreams,Almost Original,Explicit,2016,194000
A1256,B570,True,A1256,Jackson 5,I Want You Back,The Essential Michael Jackson,notExplicit,1969,179414,B570,Christmas Songs,I Want You Back,New Year Party - 1970's,notExplicit,2014,187000
A796,B572,True,A796,Post Malone,Better Now,beerbongs & bentleys,explicit,2018,231261,B572,Fly By Nightcore,Better Now,"Goes Acoustic, Vol. 3",notExplicit,2019,169000
A2502,B576,True,A2502,Faith Hill,Breathe,The Hits,notExplicit,1999,247067,B576,Ross Copperman,Breathe,Ross Copperman,notExplicit,2009,257000
A1655,B585,True,A1655,Martin Garrix & Bebe Rexha,In the Name of Love,In The Name Of Love - Single,notExplicit,2016,198815,B585,Kasim Sulton,In the Name of Love,Kasim 2021,Explicit,2021,179000
A5384,B591,True,A5384,System Of A Down,Psycho,Toxicity,notExplicit,2001,225893,B591,Hazel Bloom,Psycho,Psycho,Explicit,2022,167000
A303,B594,True,A303,Beyoncé,Heaven,BEYONCÉ,notExplicit,2013,230881,B594,Cari Cole,Heaven,"Circle of Fire, music inspired by The Four Agreements, by don Miguel Ruiz",notExplicit,2002,229000
A6390,B600,True,A6390,Leon Bridges,Smooth Sailin',Coming Home,notExplicit,2015,187440,B600,LaToiya Williams,Smooth Sailin',Young Roscoe Philaphornia,Explicit,2003,238000
A115,B608,True,A115,Michael Jackson,Billie Jean,The Essential Michael Jackson,notExplicit,1982,294601,B608,CX,Billie Jean,Street Nigga,Explicit,2024,183000
A3542,B610,True,A3542,Ray LaMontagne,Let It Be Me,Gossip In The Grain (Expanded Edition),notExplicit,2008,280227,B610,Julia Fordham,Let It Be Me,Woman to Woman,notExplicit,2018,319000
A2123,B612,True,A2123,Blake Shelton,Do You Remember,Based On a True Story... (Deluxe Version),notExplicit,2013,209240,B612,The Five Satins,Do You Remember,50 Best Hits,notExplicit,1965,132000
A550,B614,True,A550,Kenny Chesney,Summertime,The Road and the Radio,notExplicit,2005,206587,B614,Kitty Cleveland,Summertime,Blue Skies,notExplicit,2014,270000
A2502,B628,True,A2502,Faith Hill,Breathe,The Hits,notExplicit,1999,247067,B628,Pointy Features & Ningen,Breathe,Komorebi,notExplicit,2019,210000
A5664,B638,True,A5664,Santana & Rob Thomas,Smooth,iTunes Originals: Rob Thomas,notExplicit,2005,295133,B638,Wesly Thomas,Smooth,Hybrid Behavior,notExplicit,2019,148000
A1655,B639,True,A1655,Martin Garrix & Bebe Rexha,In the Name of Love,In The Name Of Love - Single,notExplicit,2016,198815,B639,50 Tubes Du Top,In the Name of Love,Fifty Shades of Hits (Get Your Sexy On),notExplicit,2017,200000
A4493,B648,True,A4493,Alice Cooper,Poison,Alice Cooper Classicks,notExplicit,1989,269600,B648,DoubleDee2x,Poison,More Pressure Than Ever,Explicit,2023,168000
A6555,B650,True,A6555,Glee Cast,Let It Snow,"Glee: The Music, The Christmas Album, Vol. 2",notExplicit,2011,167147,B650,Matteo Bocelli,Let It Snow,A Family Christmas (Deluxe Edition),notExplicit,2023,115000
A8305,B651,True,A8305,The National,Demons,Trouble Will Find Me,explicit,2013,211547,B651,Indigomerkaba,Demons,"A Collection of Memoirs, on the Path to Recovery",Explicit,2019,230000
A51,B654,True,A51,Shinedown,Second Chance,The Sound of Madness (Bonus Track Version),notExplicit,2008,222067,B654,Johnny 2 Phones,Second Chance,Second Chance,Explicit,2020,154000
A503,B657,True,A503,Ed Sheeran,Galway Girl,÷ (Deluxe),notExplicit,2017,170827,B657,The Punters,Galway Girl,Certified Trad Music,notExplicit,2010,183000
A4528,B658,True,A4528,Savage Garden,I Want You,Savage Garden,notExplicit,1997,232027,B658,Third Eye Blind,I Want You,The Third Eye Blind Collection,notExplicit,2013,270000
A8622,B668,True,A8622,The Cranberries,Zombie,Stars: The Best of the Cranberries 1992-2002,notExplicit,2002,306627,B668,Floral Bugs,Zombie,Nowa Sztuka,Explicit,2020,234000
A46,B670,True,A46,Britney Spears,Circus,Circus (Deluxe Version),notExplicit,2008,192360,B670,Deep House,Circus,Tropical Sunset,notExplicit,2022,162000
A3553,B679,True,A3553,Elvis Presley,In the Ghetto,The Essential Elvis Presley,notExplicit,1969,168649,B679,Johnny Lee,In the Ghetto,Johnny Lee,notExplicit,2023,141000
A394,B691,True,A394,Shinedown,If You Only Knew,The Sound of Madness (Bonus Track Version),notExplicit,2008,226640,B691,Sophie Chassée,If You Only Knew,Lesson Learned,notExplicit,2021,320000
A9862,B701,True,A9862,Cliff Martinez,On the Beach,Drive (Original Motion Picture Soundtrack),notExplicit,2011,395427,B701,Smooth Jazz Music Club,On the Beach,15 Best Trumpet Melodies - Brilliant Variations of Instrumental Jazz for Special Occasion,notExplicit,2020,180000
A1960,B702,True,A1960,Alex & Sierra,Little Do You Know,It's About Us,notExplicit,2014,185200,B702,Sandrah Araja,Little Do You Know,Serenity,notExplicit,2021,123000
A588,B718,True,A588,Toto,Africa,Toto IV,notExplicit,1982,295283,B718,African China,Africa,"African China: The Hits, Vol.2",notExplicit,2020,317000
A4800,B723,True,A4800,Paramore,Future,Paramore,notExplicit,2013,472933,B723,Lizette Lizette,Future,Queerbody,notExplicit,2018,223000
A5088,B732,True,A5088,Chicago,You're Not Alone,The Very Best of Chicago: Only the Beginning,notExplicit,1988,240560,B732,DJ BoBo,You're Not Alone,Evolut30n (Evolution),notExplicit,2022,191000
A2502,B736,True,A2502,Faith Hill,Breathe,The Hits,notExplicit,1999,247067,B736,The Silver,Breathe,Ward of Roses,notExplicit,2021,302000
A3067,B738,True,A3067,Luke Combs,Better Together,What You See Is What You Get,notExplicit,2019,217573,B738,Acoustic Heartstrings,Better Together,Acoustic Guitar Renditions of Jack Johnson,notExplicit,2018,245000
A8622,B755,True,A8622,The Cranberries,Zombie,Stars: The Best of the Cranberries 1992-2002,notExplicit,2002,306627,B755,Stoneman,Zombie,Belgiumaïca,notExplicit,2022,236000
A673,B759,True,A673,"Phillipa Soo, Anthony Ramos, Lin-Manuel Miranda & Renée Elise Goldsberry",Take a Break,Hamilton: An American Musical (Original Broadway Cast Recording),notExplicit,2015,286486,B759,Chakra Meditation Specialists,Take a Break,Buddhist Meditation Masterpieces,notExplicit,2020,111000
A588,B793,True,A588,Toto,Africa,Toto IV,notExplicit,1982,295283,B793,Burt Blanca,Africa,Magic Guitars,notExplicit,1998,164000
A2123,B806,True,A2123,Blake Shelton,Do You Remember,Based On a True Story... (Deluxe Version),notExplicit,2013,209240,B806,A1,Do You Remember,Make It Good,notExplicit,2002,183000
A8836,B809,True,A8836,Eminem,In Too Deep,Music To Be Murdered By,explicit,2020,194707,B809,Future Palace,In Too Deep,Distortion,notExplicit,2024,219000
A6655,B813,True,A6655,Speaker Knockerz,Lonely,Lonely - Single,explicit,2013,186653,B813,Jasmine Tingchu,Lonely,Not Your Puppet,Explicit,2009,248000
A6740,B1497,True,A6740,Pink Floyd,On the Run,The Dark Side of the Moon,notExplicit,1973,216107,B1497,She & Him,In the Sun,"""In the Sun"" B/W ""I Can Hear Music""",notExplicit,2010,171000
A7317,B1732,True,A7317,Disturbed,The Eye of the Storm,Immortalized (Deluxe Edition),notExplicit,2015,80579,B1732,Godspear,Eye of the Storm,Turn to the Light,notExplicit,2024,337000
A8308,B1743,False,A8308,Three Days Grace,Let It Die,One-X (Deluxe Edition),notExplicit,2006,189307,B1743,The Punkles,Let It Be,For Sale,notExplicit,2006,194000
A9109,B1798,True,A9109,Chris Brown,Little Bit,Royalty (Deluxe Version),explicit,2015,165906,B1798,Geordie,Little Boy,"The Very Best of Brian Johnson and Geordie, Vol. 1",notExplicit,2015,284000
A4528,B1907,True,A4528,Savage Garden,I Want You,Savage Garden,notExplicit,1997,232027,B1907,BigChildSupport,I Want Too,Port Behavior,Explicit,2019,130000
A668,B2016,False,A668,Jonathan Groff,I Know Him,Hamilton: An American Musical (Original Broadway Cast Recording),notExplicit,2015,97980,B2016,Muhsinah,I Know How,July,Explicit,2016,219000
A4250,B2050,False,A4250,Sia,Breathe Me,Colour the Small One (Bonus Track Version),notExplicit,2004,274933,B2050,Mike Casey,Breathe In,Breathe In,notExplicit,2021,107000
A5515,B2094,False,A5515,Bob Dylan,Like a Rolling Stone,Bob Dylan's Greatest Hits,notExplicit,1965,367507,B2094,The Replacements,Like a Rolling Pin,All for Nothing / Nothing for All,notExplicit,1997,186000
A2154,B2110,False,A2154,Meghan Trainor,What If I,Title (Deluxe Edition),notExplicit,2015,200217,B2110,Cobra La,What It Is,Street Minded,notExplicit,2006,164000
A8308,B2280,False,A8308,Three Days Grace,Let It Die,One-X (Deluxe Edition),notExplicit,2006,189307,B2280,Kozmas Todisco,Let It Be,Memories of Nirvana,notExplicit,2023,133000
A7317,B2316,True,A7317,Disturbed,The Eye of the Storm,Immortalized (Deluxe Edition),notExplicit,2015,80579,B2316,Lee Isaacs,Eye of the Storm,Eye of the Storm,notExplicit,2024,177000
A9976,B2459,True,A9976,Ariana Grande,better off,Sweetener,explicit,2018,171332,B2459,The Guru,Better Off,Pretty Things,notExplicit,2014,207000
A8308,B2465,False,A8308,Three Days Grace,Let It Die,One-X (Deluxe Edition),notExplicit,2006,189307,B2465,The Animals,Let It Be,On Their Own - [The Dave Cash Collection],notExplicit,2011,252000
A4250,B2510,False,A4250,Sia,Breathe Me,Colour the Small One (Bonus Track Version),notExplicit,2004,274933,B2510,malté,Breathe In,Breathe In,Explicit,2022,158000
A9976,B2544,True,A9976,Ariana Grande,better off,Sweetener,explicit,2018,171332,B2544,LaLion,Better Off,Better Off,Explicit,2017,170000
A8308,B2561,False,A8308,Three Days Grace,Let It Die,One-X (Deluxe Edition),notExplicit,2006,189307,B2561,Ray Charles,Let It Be,True Genius,notExplicit,2021,213000
A1649,B2620,False,A1649,Pearl Jam,Better Man,Rearviewmirror: Greatest Hits 1991-2003,notExplicit,1994,268760,B2620,SoMo,Better Me,Better Me,notExplicit,2018,168000
A8308,B2791,False,A8308,Three Days Grace,Let It Die,One-X (Deluxe Edition),notExplicit,2006,189307,B2791,Martin Ermen,Let It Be,Piano Dreams - Broken Heart Love Songs,notExplicit,2017,244000
A668,B3031,False,A668,Jonathan Groff,I Know Him,Hamilton: An American Musical (Original Broadway Cast Recording),notExplicit,2015,97980,B3031,Sara Angel,I Know it,Letters,notExplicit,2022,144000
A2154,B3050,False,A2154,Meghan Trainor,What If I,Title (Deluxe Edition),notExplicit,2015,200217,B3050,Cinco,What It Is,Cinco Loc,Explicit,2020,127000
A1649,B3058,False,A1649,Pearl Jam,Better Man,Rearviewmirror: Greatest Hits 1991-2003,notExplicit,1994,268760,B3058,Daens,Betterman,Betterman,notExplicit,2022,195000
A8308,B3272,False,A8308,Three Days Grace,Let It Die,One-X (Deluxe Edition),notExplicit,2006,189307,B3272,Flote Latin Bands,Let It Be,The Sound Of Silence,notExplicit,2018,233000
A1397,B3407,False,A1397,Fleetwood Mac,Say You Love Me,Greatest Hits,notExplicit,1975,249947,B3407,The Working Class Symphony,Do You Love Me,Satu Jiwa,notExplicit,2020,169000
A1397,B3521,False,A1397,Fleetwood Mac,Say You Love Me,Greatest Hits,notExplicit,1975,249947,B3521,KISS,Do You Love Me,Gold,notExplicit,2005,215000
A9109,B3665,False,A9109,Chris Brown,Little Bit,Royalty (Deluxe Version),explicit,2015,165906,B3665,Maria Doyle Kennedy,Little Bee,Maria DK,notExplicit,2017,259000
A1397,B3700,False,A1397,Fleetwood Mac,Say You Love Me,Greatest Hits,notExplicit,1975,249947,B3700,Paul Anka,If You Love Me,Put Your Head on My Shoulder,notExplicit,2020,129000
A2326,B3782,False,A2326,Toby Keith,We Were In Love,35 Biggest Hits,notExplicit,1997,259693,B3782,Micheal Bubble  ,We Are in Love,The Recipe for Love,notExplicit,2016,152000
A1397,B3806,False,A1397,Fleetwood Mac,Say You Love Me,Greatest Hits,notExplicit,1975,249947,B3806,Clair Marlo,Do You Love Me,Let It Go,notExplicit,1989,233000
A8750,B3825,False,A8750,Jim Cummings,In the Dark of the Night,Anastasia (Music from the Motion Picture),notExplicit,1997,201089,B3825,The Del-Vikings,In the Still of the Night,Hey Senorita!,notExplicit,2021,238000
A1397,B3909,False,A1397,Fleetwood Mac,Say You Love Me,Greatest Hits,notExplicit,1975,249947,B3909,Elaine Paige,If You Love Me,Elaine Paige LIVE - Celebrating A Life On Stage,notExplicit,2009,260000
A8750,B3957,False,A8750,Jim Cummings,In the Dark of the Night,Anastasia (Music from the Motion Picture),notExplicit,1997,201089,B3957,The Five Satins,In the Still of the Night,In the Still of the Night / Our Anniversary,notExplicit,1977,181000
A6352,B4079,False,A6352,Kenny Chesney,Where I Grew Up,Hemingway's Whiskey (Deluxe Edition),notExplicit,2010,218973,B4079,Big Don,When I Grow Up,Big Don's Big Beat,notExplicit,2007,167000
A3332,B4138,False,A3332,Daryl Hall & John Oates,Family Man,The Very Best of Daryl Hall & John Oates,notExplicit,1982,205293,B4138,DBHef,Family Law,Family Law,Explicit,2021,152000
A4250,B4279,False,A4250,Sia,Breathe Me,Colour the Small One (Bonus Track Version),notExplicit,2004,274933,B4279,Augusto Yepes,Breathe In,Breathe In,notExplicit,2024,240000
A8308,B4442,False,A8308,Three Days Grace,Let It Die,One-X (Deluxe Edition),notExplicit,2006,189307,B4442,Trap Beats,Let It Hit,Bang Bang,notExplicit,2023,194000
A1397,B4458,False,A1397,Fleetwood Mac,Say You Love Me,Greatest Hits,notExplicit,1975,249947,B4458,International Latin Orchesta,Do You Love Me,"Top Instrumental Music, Vol. 4",notExplicit,2018,170000
A9109,B4467,False,A9109,Chris Brown,Little Bit,Royalty (Deluxe Version),explicit,2015,165906,B4467,Black Grape,Little Bob,It's Great When You're Straight ... Yeah,notExplicit,1995,335000
A2399,B4519,False,A2399,A Star Is Born Cast,I Love You,A Star Is Born Soundtrack,notExplicit,2018,19464,B4519,RC Succession,I Like You,Complete EPLP -All Time Single Collection-,notExplicit,2020,216000
A1397,B4701,False,A1397,Fleetwood Mac,Say You Love Me,Greatest Hits,notExplicit,1975,249947,B4701,The Gentrys,Do You Love Me,Keep On Dancing (Expanded Edition),notExplicit,1995,130000
A8750,B4894,False,A8750,Jim Cummings,In the Dark of the Night,Anastasia (Music from the Motion Picture),notExplicit,1997,201089,B4894,Doris Day,In the Still of the Night,"Hooray for Hollywood, Vol. 1",notExplicit,2020,178000
A4438,B4896,False,A4438,System Of A Down,Lonely Day,Hypnotize,notExplicit,2005,167907,B4896,Joe Simon,Lonely Man,The Chokin' Kind,notExplicit,1969,165000
A6740,B5076,False,A6740,Pink Floyd,On the Run,The Dark Side of the Moon,notExplicit,1973,216107,B5076,Reaven,In the Sun,Unbreakable,notExplicit,2018,156000
A7319,B5151,False,A7319,The Three Degrees,When Will I See You Again,'70s Greatest Hits,notExplicit,1973,180293,B5151,Stephen Sharer,When I See You Again,When I See You Again,notExplicit,2021,172000
A4250,B5179,False,A4250,Sia,Breathe Me,Colour the Small One (Bonus Track Version),notExplicit,2004,274933,B5179,Michael Schack,Breathe In,SquarElectric,notExplicit,2018,211000
A7317,B5215,False,A7317,Disturbed,The Eye of the Storm,Immortalized (Deluxe Edition),notExplicit,2015,80579,B5215,Xtasy,Eye of the Storm,Eye of the Storm,notExplicit,2020,219000
A9976,B5236,True,A9976,Ariana Grande,better off,Sweetener,explicit,2018,171332,B5236,Jade Jackson,Better Off,Gilded,notExplicit,2017,160000
A1397,B5254,False,A1397,Fleetwood Mac,Say You Love Me,Greatest Hits,notExplicit,1975,249947,B5254,Amanda Jenssen,Do You Love Me,Sånger från ön,notExplicit,2015,212000
A7292,B5345,False,A7292,Theory of a Deadman,By the Way,Scars & Souvenirs,notExplicit,2008,215160,B5345,Street Gotit,In the Way,Word 4 Word,notExplicit,2024,124000
A8308,B5475,False,A8308,Three Days Grace,Let It Die,One-X (Deluxe Edition),notExplicit,2006,189307,B5475,Trixie DG,Let It Be,Let It Be,notExplicit,2021,287000
